,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,KIROY,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,VALE,ZIM
ORC,0.00500451934537607,0.0031974489117945564,0.01632978178739109,0.004633969180308063,0.004467451293053462,0.002184075581800435,0.0024964410761257085,0.00883850058824213,0.001666442579138805,0.002009495721780528,0.0015262471469034544,0.013036573524266971,0.0027743413950208117,0.004139560280557096,0.002668684496637966,0.00022165268329910564,0.006251092044396952,-0.0004907320451137563,0.0005022260840040922,-8.945887404805904e-05,0.0010501885546763772,0.0069188617801595525
PBR,0.0014789023344533771,0.0016478743082399313,0.009202757017950364,0.004043727898027395,0.008801829784448708,0.004783242989448473,0.0028657490728210525,0.0019125652847623335,0.004921214948970124,0.0034381983359455886,0.0060211610735823855,0.0027743413950208117,0.011668142579475646,0.0031073521234032202,0.004935590077533025,2.290196598582037e-05,0.004338285508786581,-1.247524782827074e-06,9.21245386341223e-06,0.0029114060785696925,0.0026430795570446352,0.009533775095793793
RYLD,0.004960664828796708,0.0015073023309657794,0.01604383280662305,0.0032744265246109133,0.004518719079461675,0.0018551709109526128,0.002103576111562403,0.003428132089938423,0.002766725726302049,0.002093799967043827,0.002508669304363862,0.004139560280557096,0.0031073521234032202,0.004165313795144193,0.001954004602936793,4.001435591776322e-05,0.006184135965603125,-5.9140898838025724e-05,3.199976768240905e-05,0.00040285017646649626,0.0011293157813795863,0.0055963215590066045
SBLK,0.0011215877892775204,0.0003192183192791612,0.007332507604057807,0.0030891455182340466,0.006570366045728893,0.007936150592972431,0.0015515698500510097,0.0008245076395561,0.0029327722103133294,0.002784103813959216,0.0036947850558898465,0.002668684496637966,0.004935590077533025,0.001954004602936793,0.010015464360726362,-0.0001107943216024248,0.0034765192651061505,0.00042452179675889294,-0.00047626491265711704,0.0014668222069725335,0.0016253922033498908,0.014160528775394499
SHY,0.00016935725881201546,0.00019485665722159042,0.0002745925409312946,2.249998493343311e-06,3.327398350426734e-05,-8.723158534652114e-05,-2.238104509259088e-05,0.0002133510434015894,3.8742211672496604e-05,3.271523593646305e-05,4.9126023795482366e-05,0.00022165268329910564,2.290196598582037e-05,4.001435591776322e-05,-0.0001107943216024248,5.559557455515431e-05,0.00011098321281016105,-0.00012924839297394483,0.00014284105112077365,1.992272548518515e-05,1.8384419567611782e-05,5.7939333496235065e-05
SOXL,0.008987539754435827,0.0024158764161747994,0.03202085096241121,0.005560507226147691,0.00909339545640467,0.0029913295324960573,0.0031691983737905374,0.00547328196282342,0.005266401257407485,0.0036657465748615317,0.004926637166221624,0.006251092044396952,0.004338285508786581,0.006184135965603125,0.0034765192651061505,0.00011098321281016105,0.013432712700878466,-3.020995160677202e-07,-3.3939116476776786e-05,0.000770650007454269,0.0021211549231813075,0.011750303327730484
TBF,-0.00017132653330493124,-0.0007360334947199851,0.0002998634976095452,-0.00015177781524627014,0.0004547337043432034,0.00034905708753490923,3.092892975729931e-05,-0.0007111799772568172,0.000311224006422684,0.00013624752885118334,1.12087213245418e-05,-0.0004907320451137563,-1.247524782827074e-06,-5.9140898838025724e-05,0.00042452179675889294,-0.00012924839297394483,-3.020995160677202e-07,0.0006789661510378406,-0.0007609535259175279,0.00018045292434115597,-6.56374686817931e-05,0.00010714848574939127
TLT,0.00012044063695519529,0.0008031445609274956,-0.0005056531823439125,0.0001301047526205787,-0.00047507314835280656,-0.0003819473240836191,-4.3913223250201926e-05,0.0007721899233413306,-0.00033956591423624287,-0.000160871528294402,-2.096262250890863e-06,0.0005022260840040922,9.21245386341223e-06,3.199976768240905e-05,-0.00047626491265711704,0.00014284105112077365,-3.3939116476776786e-05,-0.0007609535259175279,0.0008579176872207088,-0.00021524071263765752,9.037146354131194e-05,-0.00013676609640079959
USOI,-0.0007776568974657833,-0.00072724180714994,0.0009093443502087155,-0.000329613735965183,0.003276127153838834,0.0014299114575397093,0.0006730879883821639,0.00011668485069065065,0.0019284642208100048,0.0019561120377909404,0.0029031066660435718,-8.945887404805904e-05,0.0029114060785696925,0.00040285017646649626,0.0014668222069725335,1.992272548518515e-05,0.000770650007454269,0.00018045292434115597,-0.00021524071263765752,0.004170056509734001,0.0010111339506356214,0.001380478755012469
VALE,0.0009450009136613344,0.0003503628301178312,0.005155847483146509,0.0012966060328384766,0.004545167767377161,0.0016851435807836328,0.0008913500419432111,0.0011518816832246641,0.0029121261418150247,0.0016355400325975835,0.002102820430376146,0.0010501885546763772,0.0026430795570446352,0.0011293157813795863,0.0016253922033498908,1.8384419567611782e-05,0.0021211549231813075,-6.56374686817931e-05,9.037146354131194e-05,0.0010111339506356214,0.001515948185667544,0.004050654702201671
ZIM,0.006198978803602004,0.0015644580593945027,0.02190009842805456,0.006473333342259796,0.017241497949185853,0.012009691535726692,0.003485287711878321,0.0045418083550270326,0.004699314385859652,0.005618193590463432,0.007394117882695855,0.0069188617801595525,0.009533775095793793,0.0055963215590066045,0.014160528775394499,5.7939333496235065e-05,0.011750303327730484,0.00010714848574939127,-0.00013676609640079959,0.001380478755012469,0.004050654702201671,0.038548341569760516
