,ARKK,CLM,CRF,FSK,GGB,GNK,GOGL,IEP,MSB,PBR,RYLD,SBLK,SHY,SOXL,SVOL,TBF,TLT,USOI,XYLD,ZIM
RYLD,0.004959412963933383,0.0038346166115480656,0.0023405878534805144,0.0035236741125556116,0.0045527482999950086,0.0014896322227905972,0.006173457200167755,0.0016722364704199859,0.0009063653996036724,0.004037367435055938,0.004430603504061679,0.005598837996714408,2.706849603697524e-05,0.021582447562452846,0.002700000398130924,-0.0003355284302394825,0.0009030111579705488,6.64606754339742e-05,0.0033228045069240773,0.0021498104936131727
SBLK,0.0070434546630371965,0.006563255410956276,0.0032149117782645778,0.004518618797807587,0.015462137376541259,0.013827555739158136,0.05205822515640536,0.0024303734372473425,0.009149148348625189,0.019648725368235614,0.005598837996714408,0.062064484119059515,-2.8892831987330223e-05,0.0431470143348823,0.0005865573537220342,0.0008109732733375427,-0.002566740314306515,0.012483263213888958,0.004162624916395217,0.011484125765881807
SHY,5.710784009199304e-05,7.270116648102605e-05,2.8222008745077506e-05,4.226668661545931e-05,1.7402381300023416e-05,-7.927159012755244e-06,-3.519152628655931e-05,1.381804023498266e-05,-3.11362270344194e-05,4.1122799281316877e-05,2.706849603697524e-05,-2.8892831987330223e-05,3.98956706232549e-06,0.00013278931039425464,6.0597051979612586e-05,-4.324529920077559e-05,0.00012318656311515431,-5.4799542098497956e-05,2.7234555865625966e-05,-8.531674525723042e-06
SOXL,0.041250132063129906,0.01914129784753745,0.012044373126454651,0.02015443904410066,0.03392559752988682,0.01248762873954287,0.045320681679640956,0.009962041709998077,0.010112526982222396,0.02219603491470641,0.021582447562452846,0.0431470143348823,0.00013278931039425464,0.21676239856975565,0.018723075798222952,-0.00031407501747702827,0.000880810292675718,0.00811070134326311,0.017821876800527197,0.018656182465139164
SVOL,0.004651198095713323,0.0026764660820189795,0.001402911523770101,0.00293137768213766,0.003432602378016776,0.0002554165772365644,0.0011924664556269842,0.0014151429758085283,-7.3743908328374935e-06,0.002327484305302346,0.002700000398130924,0.0005865573537220342,6.0597051979612586e-05,0.018723075798222952,0.004533274732387633,-0.000561088342775405,0.0015914160317536746,-0.001162999712323076,0.002487287694447175,0.0009544212480890811
TBF,-0.00064008115823934,-0.0008910472275514738,-0.0003922640726171557,-0.00032119328100510953,0.00046237910847943,0.00017859753080581254,0.0007586775661692492,-0.00023793603412170742,0.0004565894219441454,-0.0003789798359778084,-0.0003355284302394825,0.0008109732733375427,-4.324529920077559e-05,-0.00031407501747702827,-0.000561088342775405,0.0008496073553918122,-0.002408543357660111,0.0017900487182891248,-0.00024007536754532002,0.0001310363700415445
TLT,0.001822356296206467,0.0024486022694999755,0.0010245902037896279,0.0009015601828745741,-0.0012936115753335387,-0.000515815168292826,-0.002365821207369388,0.0006526145114478398,-0.0013122235488106843,0.001029357509253019,0.0009030111579705488,-0.002566740314306515,0.00012318656311515431,0.000880810292675718,0.0015914160317536746,-0.002408543357660111,0.006852293326717477,-0.005162048971550953,0.0006795728270690747,-0.0003970682477828182
USOI,-0.0016277068243204362,-0.001145297067340566,-0.00046911054478780435,6.918717858230427e-07,0.010581482150286255,0.00420167267567315,0.011723270344127373,0.0011713781782079489,0.005671638939657885,0.014042552733759556,6.64606754339742e-05,0.012483263213888958,-5.4799542098497956e-05,0.00811070134326311,-0.001162999712323076,0.0017900487182891248,-0.005162048971550953,0.023406736997385394,1.3188408543446492e-05,0.003308285612024367
XYLD,0.004072529442673652,0.003014649628160487,0.001773189307698066,0.0025610194384792532,0.0036992869629263554,0.0011364657426246264,0.004631338956238422,0.001211877234388546,0.0006614850136022028,0.0027360097958267294,0.0033228045069240773,0.004162624916395217,2.7234555865625966e-05,0.017821876800527197,0.002487287694447175,-0.00024007536754532002,0.0006795728270690747,1.3188408543446492e-05,0.002917821043336509,0.0014964747952250174
ZIM,0.003453046889550589,0.00261476196555185,0.0015168226044027019,0.0020870120435127187,0.004467517759349123,0.0029046139164413203,0.010507192217734442,0.001025208061749021,0.0018936805490370804,0.006067279983023084,0.0021498104936131727,0.011484125765881807,-8.531674525723042e-06,0.018656182465139164,0.0009544212480890811,0.0001310363700415445,-0.0003970682477828182,0.003308285612024367,0.0014964747952250174,0.005691652669650801
