,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,XYLD,ZIM
PBR,-0.021189086138821166,-0.003858040361986086,-0.00013660431735486328,0.0010537229523062456,0.021078026023548666,0.0008332820323451876,-0.0001916717266176812,0.0050301200356077744,0.0023062968009289323,0.0016340890034730394,0.027516367745109044,0.0001322967329728554,0.0021403799405598943,0.0005281104386766177,-0.0027251954131350953,0.000930136403502459,-0.0011630798223504863,0.013897370255546423,6.288079375361279e-05,-0.0009848770312268953
RYLD,0.0014787535964290866,0.0007507585860752423,6.752125195398679e-05,0.00019261156882992915,0.0001860010005359487,0.00021746546367235574,0.0001968363250172712,0.0007409998370079434,4.477529520820112e-05,0.0005716784882261813,0.0001322967329728554,0.00013619176098115065,0.00024374342314143198,7.185865807241555e-06,0.0012465432950383994,-8.478827578146956e-05,0.00013388912261156957,-0.0002617771356935291,6.245709579805558e-05,0.0006743177991885781
SBLK,0.004550108420186485,0.003580737851358216,0.00021193937911446792,0.002221112679903721,0.011366773930711793,0.005369783235143942,0.0005933899499045192,0.0015671618067077248,0.003495113983653852,0.0021317359811708126,0.0021403799405598943,0.00024374342314143198,0.012967715574925825,-1.9530228544135546e-05,0.005793894882105309,0.00023626985465041942,-0.00047211708745483437,0.00203286282552701,0.00012711916445175552,0.012517061070682041
SHY,-0.0006307124538795738,-0.0001617510031213339,-8.798292966507219e-06,-6.253380592111732e-05,0.000688610281070722,-4.0812351297058766e-05,-3.500084290080558e-05,0.00024471177596552257,3.6549153585827866e-06,8.003180414622967e-05,0.0005281104386766177,7.185865807241555e-06,-1.9530228544135546e-05,2.8730168016931688e-05,-3.451213301376222e-05,-7.965435538798527e-05,0.00015067418623694685,0.0002680697791520739,5.470805365883475e-06,-0.00021997853542552568
SOXL,0.027999270769100852,0.00927970142761825,0.0008111916484181471,0.0032920325862188815,0.002729345648669771,0.003585415136462906,0.002121907343792991,0.006550495947102184,0.0024406054062660765,0.005420130756378947,-0.0027251954131350953,0.0012465432950383994,0.005793894882105309,-3.451213301376222e-05,0.025231585641559983,-2.594144185093823e-05,-4.826195274231923e-05,-0.0032566235518089607,0.0006713101169568015,0.014794809556088301
TBF,-0.00044519698805911036,-0.0007515138564738195,-6.914024581749717e-06,0.000311342446307741,-0.00012386360478756767,0.00016962048123364245,-7.991003510969045e-05,-0.0010697869324007663,0.0004691147274214624,-0.000499740635957482,0.000930136403502459,-8.478827578146956e-05,0.00023626985465041942,-7.965435538798527e-05,-2.594144185093823e-05,0.0011329049739679604,-0.0019268917287529302,0.0012080534147827237,-4.066470603304118e-05,0.00045591674196566523
TLT,2.7877188727250153e-07,0.0009680053757734988,-5.311829980057546e-06,-0.0005905371948036202,0.0008054259135008736,-0.0003669756430057419,7.693300670873166e-05,0.0018823825667522755,-0.0008087381458307213,0.0008081954861817192,-0.0011630798223504863,0.00013388912261156957,-0.00047211708745483437,0.00015067418623694685,-4.826195274231923e-05,-0.0019268917287529302,0.003306449961419383,-0.0018695416370587499,6.698255628574954e-05,-0.0009482242938018482
USOI,-0.01780225616949373,-0.0068644806596177875,-0.00032368539753808886,0.00023196272221818765,0.01588573387652864,0.0007130978796497585,-0.000469131234882694,0.0011831328333879636,0.003153942106980261,-0.0009249750162942996,0.013897370255546423,-0.0002617771356935291,0.00203286282552701,0.0002680697791520739,-0.0032566235518089607,0.0012080534147827237,-0.0018695416370587499,0.015426938636782142,-0.00011718838141349774,-0.001362628785909081
XYLD,0.0007585642415775007,0.0003815352500327533,3.15640227842478e-05,9.127433093230952e-05,0.00013777701599079124,9.439425817377464e-05,8.031684155285076e-05,0.00034443238449857744,5.2151393862212283e-05,0.00026263526798014735,6.288079375361279e-05,6.245709579805558e-05,0.00012711916445175552,5.470805365883475e-06,0.0006713101169568015,-4.066470603304118e-05,6.698255628574954e-05,-0.00011718838141349774,3.383353529410917e-05,0.0003790402959303519
ZIM,0.02003734706039876,0.010375456670914078,0.0007055738727135122,0.0038475093072863438,0.006444749008732704,0.006351461132544537,0.0010755190797530662,0.0034347195089782447,0.0024985950309005483,0.0019034066316102412,-0.0009848770312268953,0.0006743177991885781,0.012517061070682041,-0.00021997853542552568,0.014794809556088301,0.00045591674196566523,-0.0009482242938018482,-0.001362628785909081,0.0003790402959303519,0.029339231861454096
