,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ORC,0.011340655204673073,0.006287410552515467,0.011834499336598392,0.0063541417923257525,0.0032369971793165062,0.004241360416180112,0.001358782040550424,0.01026110186031271,0.004179049674783238,0.001153596944875432,0.013958005095102052,0.0020265820002879622,0.004359817202858342,0.0018410742749703389,0.00012958218078259952,0.013763802998962613,-0.0003416772234954386,0.00018052319589153358,0.00016260991675270682,0.005407950290429033
PBR,0.0025651924443735297,0.002274838181056381,0.0046396017489425895,0.0036395079875939807,0.004496051013605592,0.006554036251154989,0.0010231280527648798,0.0015547238589988111,0.004672563498307464,0.0035787142558620856,0.0020265820002879622,0.00563361688591729,0.0022124703364288347,0.002403713190909397,1.3535763148459968e-05,0.006832323736085381,3.596686822850265e-05,-2.358820392356765e-05,0.001973201243413856,0.005630076699927831
RYLD,0.01126587180795336,0.0031448127365265336,0.011874172020727321,0.004585638372430114,0.003355858434309448,0.0037404296035704085,0.0011180761134921562,0.00405202967613153,0.004088202555885768,0.002162581792024583,0.004359817202858342,0.0022124703364288347,0.004555892467381461,0.0013595864974353113,2.258483698460681e-05,0.01369739268232345,-1.9725759182853727e-05,-1.114910387269567e-05,0.000334327132564017,0.004844820035072929
SBLK,0.002373549168697484,0.0005123224995040866,0.004095870917467082,0.0025958500325978153,0.0032181539499080833,0.009753896126018359,0.000530833329176277,0.0007584631929740946,0.0036530399335354836,0.0022594837116929303,0.0018410742749703389,0.002403713190909397,0.0013595864974353113,0.00426118644993895,-3.1990956432561e-05,0.005484179188816843,0.0003172521290208424,-0.00020377637683504157,0.001247543901315631,0.0074690547617707655
SHY,0.00020610381705489923,0.00022342029818331812,8.838281402558058e-05,-8.515679850103293e-07,4.791486822492476e-06,-7.443165272437278e-05,-2.799736248261127e-06,0.00014780409398564248,2.169277972710619e-05,2.713479247954466e-07,0.00012958218078259952,1.3535763148459968e-05,2.258483698460681e-05,-3.1990956432561e-05,2.0253946647624236e-05,6.40196971125051e-05,-8.746189655590567e-05,5.436444352558094e-05,2.850655848853388e-06,7.219562615013685e-06
SOXL,0.042055172129508725,0.01104474466373968,0.048112066067167815,0.016107380681336866,0.014945789404699733,0.013382873794308572,0.0038913753973708384,0.013162827824367437,0.014780932231352174,0.008953036432174374,0.013763802998962613,0.006832323736085381,0.01369739268232345,0.005484179188816843,6.40196971125051e-05,0.060384874550652126,0.00044630919106680424,-0.0003193320745921228,0.001662142764516138,0.020579031007328535
TBF,-0.00020012218176498968,-0.0015435912215329157,0.0004029008203408367,-0.00015557284162797983,0.00043354113530128825,0.000779530506222166,2.5391755097754578e-05,-0.000842374666993618,0.00033544915355797214,0.00018944779031440366,-0.0003416772234954386,3.596686822850265e-05,-1.9725759182853727e-05,0.0003172521290208424,-8.746189655590567e-05,0.00044630919106680424,0.0007938803260465708,-0.000496931520081246,0.00023376276034288066,0.000335511083525037
TLT,2.4669189419176945e-05,0.000937004106049613,-0.0003270770940602645,6.214814333445816e-05,-0.0002636880289555339,-0.0004892883124446825,-2.163513624016189e-05,0.0005081692816008894,-0.00021736804656965754,-0.00011507425621497326,0.00018052319589153358,-2.358820392356765e-05,-1.114910387269567e-05,-0.00020377637683504157,5.436444352558094e-05,-0.0003193320745921228,-0.000496931520081246,0.00031275637795141065,-0.00015384798095069847,-0.00022142500777078228
USOI,-0.0013937163271308445,-0.0012176099655189527,0.0002647669323724168,-0.0003747140536246874,0.002401825553285145,0.0031763969841821747,0.00041353722233459356,0.00015093500177744401,0.003512032558730342,0.00209046388270005,0.00016260991675270682,0.001973201243413856,0.000334327132564017,0.001247543901315631,2.850655848853388e-06,0.001662142764516138,0.00023376276034288066,-0.00015384798095069847,0.003356517768837803,0.0013890235668404815
ZIM,0.011872526201374913,0.003287866875422543,0.013739084694330002,0.0072067005742257354,0.010504267019348378,0.01846630727940135,0.0016529180284870306,0.004329785367590686,0.008693914267192255,0.005335588183249719,0.005407950290429033,0.005630076699927831,0.004844820035072929,0.0074690547617707655,7.219562615013685e-06,0.020579031007328535,0.000335511083525037,-0.00022142500777078228,0.0013890235668404815,0.025170994105097478
