Date,Close,Adj Close,Volume,Dividends,Returns,ADV_20,Dollar_ADV_20
2021-11-01,27.8700008392334,26.60580444335937,3021500,0.0,-0.0074785998947018,4953835.0,138063385.60742378
2021-11-02,27.540000915527344,26.29077339172364,3195300,0.0,-0.011840685818764,4859010.0,133817139.84855652
2021-11-03,27.309999465942383,26.07120513916016,3447800,0.0,-0.0083515411016302,4648505.0,126950669.0674305
2021-11-04,27.34000015258789,26.099842071533203,2252300,0.0,0.0010985238825405,4435300.0,121261102.67677309
2021-11-05,26.920000076293945,25.698898315429688,4160200,0.0,-0.0153621095080421,4377970.0,117854952.7340126
2021-11-08,26.65999984741211,25.45069122314453,4535300,0.0,-0.0096582551316853,4359725.0,116230267.83475876
2021-11-09,26.90999984741211,25.68935203552246,5950200,0.0,0.0093773443897551,4420480.0,118955116.12548828
2021-11-10,27.3799991607666,26.13802719116211,6352200,0.0,0.0174656007439439,4431650.0,121338573.28081132
2021-11-11,27.770000457763672,26.51033973693848,3091800,0.0,0.0142440215102677,4275645.0,118734663.60723495
2021-11-12,27.31999969482422,26.080751419067383,4163400,0.0,-0.0162045644768308,4170600.0,113940790.72723389
2021-11-15,27.32999992370605,26.09029769897461,2293200,0.0,0.0003660405927359,4051880.0,110737880.09086607
2021-11-16,27.200000762939453,25.96619415283203,3346500,0.0,-0.0047566469494879,4063130.0,110517139.09992218
2021-11-17,27.63999938964844,26.3862361907959,3791600,0.0,0.0161764196458586,4011710.0,110883661.95144652
2021-11-18,27.76000022888184,26.50079345703125,6823700,0.0,0.004341564467557,4223380.0,117241029.76665495
2021-11-19,28.40999984741211,27.121309280395508,5006300,0.0,0.0234149716560163,4247980.0,120685111.15180968
2021-11-22,28.32999992370605,27.04493904113769,4607500,0.0,-0.0028159072205465,4255975.0,120571771.42529488
2021-11-23,27.88999938964844,26.624897003173828,8275600,0.0,-0.015531257862427,4356705.0,121508499.7908783
2021-11-24,27.8799991607666,26.61534881591797,4935000,0.0,-0.0003585596665716,4366435.0,121736204.13554192
2021-11-26,29.989999771118164,28.629638671875,6969700,0.0,0.075681516279269,4503530.0,135060863.6692238
2021-11-29,29.43000030517578,28.09504127502441,5619800,0.0,-0.0186728732983082,4591945.0,135140942.7513504
2021-11-30,31.030000686645508,29.622465133666992,10276500,0.0,0.0543663052965832,4954695.0,153744189.25211906
2021-12-01,32.20000076293945,30.73939514160156,10939100,0.0,0.0377054479666023,5341885.0,172008701.07553482
2021-12-02,30.36000061035156,28.98285865783692,16284500,0.0,-0.0571428605276815,5983720.0,181665742.85217285
2021-12-03,30.540000915527344,29.154693603515625,15131300,0.0,0.0059288636876511,6627670.0,202409047.8678131
2021-12-06,28.799999237060547,27.49361801147461,11216900,0.0,-0.0569745129765904,6980505.0,201038538.67429733
2021-12-07,27.61000061035156,26.35759925842285,6681400,0.0,-0.0413193978553189,7087810.0,195694438.4260559
2021-12-08,27.549999237060547,26.300317764282227,4343500,0.0,-0.0021731753699606,7007475.0,193055930.9037209
2021-12-09,27.5,26.252586364746094,4773400,0.0,-0.0018148543900243,6928535.0,190534712.5
2021-12-10,27.01000022888184,25.78481674194336,4952500,0.0,-0.0178181734952059,7021570.0,189652607.30710983
2021-12-13,27.739999771118164,26.4817008972168,4519600,0.0,0.027027009850068,7039380.0,195272399.58881372
2021-12-14,27.93000030517578,26.66308212280273,7713300,0.0,0.0068493343772639,7310385.0,204179055.28095245
2021-12-15,27.09000015258789,25.86118698120117,9640100,0.0,-0.0300751931045352,7625065.0,206563012.01349252
2021-12-16,27.15999984741211,25.928009033203125,9211400,0.0,0.002583968048355,7896055.0,214456852.5951576
2021-12-17,28.32999992370605,27.04493904113769,9565400,0.0,0.0430780590157267,8033140.0,227578855.5871201
2021-12-20,29.3700008392334,28.03776359558105,9059100,0.0,0.0367102336155351,8235780.0,241884865.51174164
2021-12-21,27.959999084472656,26.69172096252441,5391000,0.0,-0.048008229978571,8274955.0,231367734.22405243
2021-12-22,27.3700008392334,26.12848281860352,4425600,0.0,-0.0211015116079494,8082455.0,221216800.13306612
2021-12-23,26.93000030517578,25.70844459533692,3353300,0.0,-0.0160760146352242,8003370.0,215530756.5424347
2021-12-27,26.100000381469727,24.916091918945312,2874800,0.0,-0.0308206429372573,7798625.0,203544115.4749393
2021-12-28,25.8799991607666,24.706069946289062,3522300,0.0,-0.0084291654209829,7693750.0,199114243.54314804
2021-12-29,25.709999084472656,24.54378128051757,3641100,0.0,-0.0065687821409075,7361980.0,189276499.059906
2021-12-30,25.89999961853028,24.72516250610352,3144700,0.0,0.0073901416111821,6972260.0,180581531.34029388
2021-12-31,26.01000022888184,24.83017539978028,3421600,0.0,0.0042471278753557,6329115.0,164620282.59861946
2022-01-03,25.530000686645508,24.371946334838867,4307900,0.0,-0.0184544228378487,5787945.0,147766239.82426643
2022-01-04,25.040000915527344,23.904176712036133,8112200,0.0,-0.0191930966682064,5632710.0,141043063.55690002
2022-01-05,25.81999969482422,24.648792266845703,11926300,0.0,0.0311501098553552,5894955.0,152207736.3010025
2022-01-06,26.18000030517578,24.99246406555176,10605200,0.0,0.0139427038964576,6208040.0,162526489.09454346
2022-01-07,26.190000534057617,25.002010345458984,8241400,0.0,0.0003819797083752,6381440.0,167129917.00805664
2022-01-10,26.549999237060547,25.345678329467773,11838200,0.0,0.0137456546644505,6725725.0,178567993.61867905
2022-01-11,26.1299991607666,24.944730758666992,9061800,0.0,-0.0158192123677229,6952835.0,181677572.71494865
2022-01-12,26.030000686645508,24.849266052246094,5473100,0.0,-0.0038269604796328,6840825.0,178066679.44722176
2022-01-13,26.459999084472656,25.25976181030273,9521700,0.0,0.0165193387047337,6834905.0,180851580.0424576
2022-01-14,26.90999984741211,25.68935203552246,9140100,0.0,0.0170068321432226,6831340.0,183831358.35762024
2022-01-18,28.07999992370605,26.806276321411133,7849600,0.0,0.0434782639512523,6745550.0,189415043.48535532
2022-01-19,28.88999938964844,27.57953643798828,6463600,0.0,0.0288461349053834,6615775.0,191129735.7120514
2022-01-20,29.65999984741211,28.31460952758789,10982100,0.0,0.0266528374534882,6895330.0,204515486.7478561
2022-01-21,30.850000381469727,29.45062828063965,15272000,0.0,0.0401213938024158,7437650.0,229451505.3372383
2022-01-24,30.5,29.11650657653809,24568000,0.0,-0.0113452310256682,8498385.0,259200742.5
2022-01-25,30.71999931335449,29.32652473449707,16760000,0.0,0.0072130922411308,9192645.0,282398048.0879116
2022-01-26,31.07999992370605,29.670196533203125,22301900,0.0,0.0117187701301497,10131625.0,314890904.2270184
2022-01-27,31.100000381469727,29.68929100036621,16809100,0.0,0.0006435153736412,10790025.0,335569781.6160679
2022-01-28,29.57999992370605,28.238237380981445,12698400,0.0,-0.0488746121903371,11267710.0,333298860.94034195
2022-01-31,28.549999237060547,27.25495719909668,7035900,0.0,-0.0348208481846561,11448425.0,326852525.0155449
2022-02-01,27.850000381469727,26.58671188354492,5981400,0.0,-0.024518349362411,11532100.0,321168989.39914703
2022-02-02,27.34000015258789,26.099842071533203,8477100,0.0,-0.0183123957592894,11550345.0,315786434.0624428
2022-02-03,28.479999542236328,27.188135147094727,9458000,0.0,0.0416971244801009,11426930.0,325438961.16916656
2022-02-04,28.559999465942383,27.264503479003903,8785200,0.0,0.0028089861303337,11335930.0,323754154.74596024
2022-02-07,28.559999465942383,27.264503479003903,7693200,0.0,0.0,11308520.0,322971325.16059875
2022-02-08,27.6299991607666,26.376689910888672,7954600,0.0,-0.0325630365044229,11114340.0,307089204.8724747
2022-02-09,26.940000534057617,25.71799087524414,6547800,0.0,-0.024972806647376,10988640.0,296033967.4685669
2022-02-10,28.07999992370605,26.806276321411133,11362900,0.0,0.0423162348570576,11283130.0,316830289.5391655
2022-02-11,29.290000915527344,27.96139144897461,16531900,0.0,0.0430912035295187,11633640.0,340749326.2509155
2022-02-14,29.68000030517578,28.333702087402344,9490400,0.0,0.0133151033614917,11651155.0,345806283.9556503
2022-02-15,28.600000381469727,27.30269241333008,7735900,0.0,-0.0363881372170241,11645470.0,333060446.44239426
2022-02-16,28.670000076293945,27.369516372680664,7725300,0.0,0.0024475417444249,11708555.0,335684272.74329185
2022-02-17,30.21999931335449,28.84920883178711,8682900,0.0,0.054063454235641,11593595.0,350358432.9393101
2022-02-18,30.780000686645508,29.38380622863769,10889200,0.0,0.018530820185808,11374455.0,350105732.7102184
2022-02-22,32.13999938964844,30.682113647460938,14531600,0.0,0.0441844922892737,10872635.0,349446482.26387024
2022-02-23,33.40999984741211,31.89450454711914,11436600,0.0,0.0395146385152922,10606465.0,354361994.0315819
2022-02-24,33.150001525878906,31.64630508422852,20376700,0.0,-0.0077820509644013,10510205.0,348413311.7873001
2022-02-25,30.6200008392334,29.23106384277344,20051700,0.0,-0.0763197758730247,10672335.0,326786906.65658
2022-02-28,31.01000022888184,29.60337257385254,15567000,0.0,0.0127367530685607,10815765.0,335396875.1255321
2022-03-01,32.61000061035156,31.130794525146484,14907800,0.0,0.0515962711918824,11209360.0,365537236.4416504
2022-03-02,30.950000762939453,29.54609680175781,13911200,0.0,-0.050904624849506,11605850.0,359201066.35456085
2022-03-03,31.200000762939453,29.78475379943848,11293600,0.0,0.008077544227377,11746675.0,366496268.9620018
2022-03-04,31.64999961853028,30.21434211730957,11745900,0.0,0.0144230398906062,11861070.0,375402860.9753609
2022-03-07,33.939998626708984,32.40046691894531,10061100,0.0,0.0723538399930334,11924865.0,404729901.72369
2022-03-08,34.47999954223633,32.91596984863281,14737300,0.0,0.0159104577895412,12277070.0,423313367.98000336
2022-03-09,32.349998474121094,30.882587432861328,12383400,0.0,-0.061774973793317,12498510.0,404326779.4287872
2022-03-10,32.689998626708984,31.207164764404297,7227800,0.0,0.0105100515803695,12532510.0,409687734.6892166
2022-03-11,33.310001373291016,31.79904556274414,10303400,0.0,0.0189661294777621,12479535.0,415693327.9880333
2022-03-14,33.310001373291016,31.79904556274414,13266400,0.0,0.0,12316260.0,410254637.5138092
2022-03-15,31.459999084472656,30.032958984375,9417800,0.0,-0.0555389436369626,12312630.0,387355328.52745056
2022-03-16,30.01000022888184,28.64873313903809,12364900,0.0,-0.0460902383276444,12544080.0,376447843.67111206
2022-03-17,28.8700008392334,27.56044578552246,7921500,0.0,-0.0379873169261523,12553890.0,362430814.83564377
2022-03-18,28.239999771118164,26.959020614624023,7126900,0.0,-0.0218219968757009,12476090.0,352324778.7444496
2022-03-21,28.700000762939453,27.398155212402344,7716900,0.0,0.0162889870945306,12317475.0,353511541.89748764
2022-03-22,28.020000457763672,26.748998641967773,5494600,0.0,-0.0236933897943958,11865625.0,332474817.93165207
2022-03-23,29.14999961853028,27.827741622924805,6137600,0.0,0.0403283062921402,11600675.0,338159671.8246937
2022-03-24,28.25,26.968568801879883,5066900,0.0,-0.0308747729093675,10835185.0,306093976.25
2022-03-25,27.89999961853028,26.634441375732425,7162000,0.0,-0.0123893940343265,10190700.0,284320526.11255646
2022-03-28,27.68000030517578,26.42442321777344,4710400,0.0,-0.0078852801563615,9647870.0,267053044.54429623
2022-03-29,26.850000381469727,25.63207054138184,6476900,0.0,-0.029985546046069,9226325.0,247726829.76956367
2022-03-30,27.0,25.775270462036133,5400300,0.0,0.0055865778919614,8800780.0,237621060.0
2022-03-31,28.239999771118164,26.959020614624023,5097600,0.0,0.0459259174488209,8490980.0,239785273.2565689
2022-04-01,27.940000534057617,26.67262840270996,5454100,0.0,-0.0106232025315865,8176390.0,228448340.96666336
2022-04-04,27.670000076293945,26.41487503051757,3916700,0.0,-0.0096635809807718,7869170.0,217739934.50037003
2022-04-05,28.32999992370605,27.04493904113769,5255200,0.0,0.0238525423054682,7395065.0,209502190.8858013
2022-04-06,28.71999931335449,27.4172477722168,6824000,0.0,0.0137663039427717,7117095.0,204402963.5130787
2022-04-07,28.440000534057617,27.14995002746582,7352100,0.0,-0.0097492613506672,7123310.0,202586940.204258
2022-04-08,28.06999969482422,26.79673194885254,6570200,0.0,-0.0130098745529316,6936650.0,194711763.3831024
2022-04-11,29.1299991607666,27.80864906311035,5119400,0.0,0.0377627174017332,6529300.0,190198503.52039337
2022-04-12,29.350000381469727,28.0186710357666,6572800,0.0,0.0075523936505783,6387050.0,187459919.93646625
2022-04-13,28.450000762939453,27.159496307373047,5574600,0.0,-0.0306643818341648,6047535.0,172052375.36390305
2022-04-14,28.739999771118164,27.436342239379883,6344000,0.0,0.0101932864816116,5968660.0,171539287.03388214
2022-04-18,28.84000015258789,27.53180503845215,5915400,0.0,0.0034794844212289,5908085.0,170389172.30150223
2022-04-19,27.540000915527344,26.29077339172364,5660600,0.0,-0.0450762562476579,5805270.0,159877141.11488342
2022-04-20,26.96999931335449,25.74662971496582,8659500,0.0,-0.020697225244153,5963515.0,160835995.4551792
2022-04-21,27.850000381469727,26.58671188354492,9227300,0.0,0.0326288873014353,6118000.0,170386302.3338318
2022-04-22,30.13999938964844,28.77283477783203,12092800,0.0,0.0822261751099431,6469295.0,194984547.3514557
2022-04-25,29.51000022888184,28.171411514282227,13774700,0.0,-0.0209024277878046,6799930.0,200665935.8563805
2022-04-26,31.690000534057617,30.25252914428711,10780700,0.0,0.0738732730690454,7103445.0,225108175.8436489
2022-04-27,31.479999542236328,30.052051544189453,15648900,0.0,-0.006626727304583,7562045.0,238053173.1383705
2022-04-28,29.670000076293945,28.32415580749512,12990300,0.0,-0.0574968072510271,7941545.0,235625640.7558918
2022-04-29,32.189998626708984,30.729846954345703,11980300,0.0,0.0849342279721965,8285680.0,266716027.8213501
2022-05-02,31.88999938964844,30.44345474243164,13611900,0.0,-0.0093196411885407,8693570.0,277237941.993866
2022-05-03,31.739999771118164,30.30026054382324,8088600,0.0,-0.0047036569896882,8902165.0,282554715.06245613
2022-05-04,29.040000915527344,27.722734451293945,12941900,0.0,-0.0850661271285732,9286500.0,269679968.5020447
2022-05-05,31.75,30.30980682373047,15204800,0.0,0.0933195247601956,9705540.0,308150895.0
2022-05-06,32.040000915527344,30.586652755737305,16519400,0.0,0.0091338871032233,10163905.0,325651525.50533295
2022-05-09,33.91999816894531,32.381370544433594,13351600,0.0,0.0586765667820838,10502975.0,356260892.7684784
2022-05-10,34.22999954223633,32.67731094360352,16694100,0.0,0.009139191922918,11081710.0,379326928.2271957
2022-05-11,35.2599983215332,33.66059112548828,19641300,0.0,0.0300905285735093,11735135.0,413780840.4029656
2022-05-12,35.56999969482422,33.95652770996094,22580800,0.0,0.0087918714704446,12585445.0,447664274.809227
2022-05-13,33.97999954223633,32.43865203857422,10865800,0.0,-0.0447005950584602,12811535.0,435335953.4353447
2022-05-16,33.849998474121094,32.314544677734375,10289600,0.0,-0.003825811355696,13030245.0,441073773.367424
2022-05-17,32.5,31.02578353881836,9078600,0.0,-0.0398817883301587,13201145.0,429037212.5
2022-05-18,35.93000030517578,34.300201416015625,8209800,0.0,0.1055384709284856,13178660.0,473509257.8218079
2022-05-19,36.790000915527344,35.12118911743164,17034700,0.0,0.0239354467867254,13569030.0,499204626.122818
2022-05-20,36.7400016784668,35.07345962524414,14385300,0.0,-0.0013590441917995,13683655.0,502737507.6675606
2022-05-23,34.4900016784668,32.92551803588867,12917000,0.0,-0.0612411512577234,13640770.0,470470180.1955795
2022-05-24,34.33000183105469,32.77277755737305,14068600,0.0,-0.0046390211547018,13805165.0,473931339.7280121
2022-05-25,33.720001220703125,32.1904411315918,8132000,0.0,-0.0177687322404905,13429320.0,452836686.7932129
2022-05-26,32.119998931884766,30.66301918029785,7847900,0.0,-0.0474496509755759,13172200.0,423091049.9305725
2022-05-27,30.440000534057617,29.059228897094727,5889700,0.0,-0.0523038123814958,12867670.0,391691881.6720772
2022-05-31,30.940000534057617,29.53654670715332,7475600,0.0,0.0164257552965736,12560855.0,388632860.4082203
2022-06-01,31.459999084472656,30.032958984375,8131700,0.0,0.0168066755474889,12563010.0,395232283.0982208
2022-06-02,30.229999542236328,28.858753204345703,6581400,0.0,-0.0390972529571179,12244985.0,370165890.9446907
2022-06-03,31.13999938964844,29.727474212646484,5156200,0.0,0.0301025425468726,11742555.0,365663155.5329132
2022-06-06,31.1200008392334,29.70838165283203,5605400,0.0,-0.0006422142198784,11196855.0,348446136.9967747
2022-06-07,30.36000061035156,28.98285865783692,4450600,0.0,-0.0244216005265557,10751805.0,326424806.362381
2022-06-08,31.09000015258789,29.67974281311035,4307500,0.0,0.0240447802226797,10132475.0,315018649.296093
2022-06-09,32.88999938964844,31.398096084594727,6165100,0.0,0.0578964048963093,9458665.0,311095486.07688904
2022-06-10,35.56999969482422,33.95652770996094,9229700,0.0,0.0814837444484497,8791110.0,312699780.01716614
2022-06-13,38.52000045776367,36.77271270751953,8807400,0.0,0.0829350797933434,8688190.0,334669082.77713776
2022-06-14,39.0099983215332,37.2404899597168,6925100,0.0,0.0127206089809579,8519965.0,332363820.34952164
2022-06-15,37.91999816894531,36.199928283691406,12167700,0.0,-0.0279415585615705,8674420.0,328933990.5166626
2022-06-16,40.61000061035156,38.76791000366211,7784100,0.0,0.0709388863739248,8653135.0,351403817.63145447
2022-06-17,40.84999847412109,38.99702453613281,7923500,0.0,0.005909821722789,8197575.0,334870926.2414932
2022-06-21,38.18999862670898,36.45767974853516,5514000,0.0,-0.0651162777667482,7754010.0,296125631.25148773
2022-06-22,38.45000076293945,36.70589065551758,5581300,0.0,0.0068081211201884,7387225.0,284038806.8860054
2022-06-23,37.65999984741211,35.95172119140625,6508300,0.0,-0.0205461872523237,7009210.0,263966847.53047943
2022-06-24,34.54999923706055,32.98279571533203,5535400,0.0,-0.0825810043269363,6879380.0,237682573.7514496
2022-06-27,34.790000915527344,33.2119140625,4620800,0.0,0.0069465031480913,6718025.0,233720095.9005356
2022-06-28,36.4900016784668,34.834800720214844,5622600,0.0,0.048864636912979,6704670.0,244653419.553566
2022-06-29,36.22999954223633,34.58659362792969,4228300,0.0,-0.0071252980068756,6542305.0,237027707.15517044
2022-06-30,37.0,35.32166290283203,5585500,0.0,0.0212531180649344,6414995.0,237354815.0
2022-07-01,35.970001220703125,34.3383903503418,4965500,0.0,-0.0278378048458615,6334200.0,227841181.73217773
2022-07-05,36.36000061035156,34.710697174072266,5483900,0.0,0.0108423513042297,6350585.0,230907274.47608948
2022-07-06,36.130001068115234,34.49112701416016,5551800,0.0,-0.0063256198673122,6347905.0,229349814.43029404
2022-07-07,34.900001525878906,33.31692123413086,3669800,0.0,-0.0340437172951485,6308865.0,220179398.12656403
2022-07-08,35.04999923706055,33.460113525390625,4127500,0.0,0.0042979284992412,6299865.0,220810263.44358444
2022-07-11,35.650001525878906,34.032901763916016,5217500,0.0,0.0171184679565967,6252485.0,222901099.79053497
2022-07-12,36.27000045776367,34.624778747558594,4092200,0.0,0.017391273642294,5995610.0,217460777.44457245
2022-07-13,37.04999923706055,35.369388580322266,5769700,0.0,0.0215053424166669,5843725.0,216510006.79159164
2022-07-14,37.560001373291016,35.856258392333984,10554700,0.0,0.013765240127733,6025205.0,226306708.0743599
2022-07-15,35.20000076293945,33.60331344604492,8697400,0.0,-0.062832814804681,5851690.0,205979492.4644852
2022-07-18,35.88999938964844,34.26201629638672,4224300,0.0,0.0196022332884564,5673700.0,203629089.5370484
2022-07-19,33.29999923706055,31.789491653442383,6351400,0.0,-0.0721649539324013,5595095.0,186316659.23128128
2022-07-20,33.11000061035156,31.608118057250977,5041600,0.0,-0.0057056645964582,5571475.0,184471540.65055847
2022-07-21,32.599998474121094,31.121246337890625,6174400,0.0,-0.015403265684961,5601130.0,182596829.45335388
2022-07-22,32.97999954223633,31.48401641845703,6198400,0.0,0.0116564750276566,5585635.0,184214239.7430992
2022-07-25,32.720001220703125,31.23580551147461,4555000,0.0,-0.0078835150134017,5536615.0,181158049.55856323
2022-07-26,33.47999954223633,31.961328506469727,5164600,0.0,0.0232273316986408,5563805.0,186276188.8530922
2022-07-27,32.06999969482422,30.61528968811035,4309400,0.0,-0.0421146913587421,5498145.0,176325508.4720993
2022-07-28,31.11000061035156,29.698835372924805,4786100,0.0,-0.0299344899784202,5526035.0,171914952.2228241
2022-07-29,30.15999984741211,28.791927337646484,3779800,0.0,-0.030536828810712,5435750.0,163942219.17057037
2022-08-01,30.309999465942383,28.93512725830078,3019100,0.0,0.0049734621780226,5338430.0,161807810.4489708
2022-08-02,31.450000762939453,30.023414611816406,3895700,0.0,0.0376113928434087,5259020.0,165396183.01231384
2022-08-03,30.229999542236328,28.858753204345703,3449600,0.0,-0.0387917707824277,5153910.0,155802696.94072723
2022-08-04,30.5,29.11650657653809,3213000,0.0,0.0089315402531329,5131070.0,156497635.0
2022-08-05,30.309999465942383,28.93512725830078,4773600,0.0,-0.0062295257068071,5163375.0,156501893.49246025
2022-08-08,30.200000762939453,28.830114364624023,3961100,0.0,-0.003629122564866,5100555.0,154036764.89141464
2022-08-09,30.32999992370605,28.9542179107666,3943900,0.0,0.0043046078636572,5093140.0,154474935.81142426
2022-08-10,28.920000076293945,27.6081771850586,3951600,0.0,-0.0464886202096573,5002235.0,144664636.58164024
2022-08-11,28.75,27.44588851928711,4873200,0.0,-0.0058782875465237,4718160.0,135647100.0
2022-08-12,27.739999771118164,26.4817008972168,3376500,0.0,-0.035130442743716,4452115.0,123501669.08099174
2022-08-15,27.350000381469727,26.10939216613769,3594000,0.0,-0.0140590985171704,4420600.0,120903411.68632507
2022-08-16,26.76000022888184,25.5461540222168,4414100,0.0,-0.0215722173440124,4323735.0,115703149.5896244
2022-08-17,27.14999961853028,25.9184627532959,3751300,0.0,0.0145739680983827,4259220.0,115637821.37523653
